# The data points for the QLF at different redshift bins are given here.
# status 1 points are the selected points and status 0 points are the rejected points. 
# The columns are as follows:
# zmin   zmax   label                      status  mags      logphi      right    left     uperr    downerr
  1.00   1.20   Milliquas DR16 gG               1  -26.400   -9.875      0.300    0.300    0.365    0.451
  1.00   1.20   Milliquas DR16 gG               1  -25.800   -9.135      0.300    0.300    0.147    0.153
  1.00   1.20   Milliquas DR16 gG               1  -25.200   -8.357      0.300    0.300    0.056    0.057
  1.00   1.20   Milliquas DR16 gG               1  -24.600   -7.679      0.300    0.300    0.025    0.025
  1.00   1.20   Milliquas DR16 gG               1  -24.000   -7.292      0.300    0.300    0.016    0.016
  1.00   1.20   Milliquas DR16 gG               1  -23.400   -6.938      0.300    0.300    0.011    0.011
  1.00   1.20   Milliquas DR16 gG               1  -22.800   -6.676      0.300    0.300    0.008    0.008
  1.00   1.20   Milliquas DR16 gG               1  -22.200   -6.561      0.300    0.300    0.007    0.007
  1.00   1.20   Milliquas DR16 gG               1  -21.600   -6.912      0.300    0.300    0.010    0.010
  1.00   1.20   Milliquas DR16 gG               1  -21.000   -7.820      0.300    0.300    0.030    0.030
  1.00   1.20   Milliquas DR16 gG               1  -20.400   -9.135      0.300    0.300    0.147    0.153
  1.00   1.20   Croom et al. 2009               1  -25.200   -6.906      0.300    0.300    0.129    0.133
  1.00   1.20   Croom et al. 2009               1  -24.600   -6.489      0.300    0.300    0.063    0.063
  1.00   1.20   Croom et al. 2009               1  -24.000   -6.236      0.300    0.300    0.046    0.047
  1.00   1.20   Croom et al. 2009               1  -23.400   -5.859      0.300    0.300    0.035    0.035
  1.00   1.20   Croom et al. 2009               1  -22.800   -5.718      0.300    0.300    0.029    0.029
  1.00   1.20   Croom et al. 2009               1  -22.200   -5.569      0.300    0.300    0.024    0.024
  1.00   1.20   Croom et al. 2009               0  -21.600   -5.670      0.300    0.300    0.033    0.033
  1.00   1.20   Croom et al. 2009               0  -21.000   -6.039      0.300    0.300    0.174    0.184
  1.00   1.20   Richards et al. 2006            1  -28.200   -9.260      0.300    0.300    0.518    0.763
  1.00   1.20   Richards et al. 2006            1  -27.600   -9.486      0.300    0.300    0.365    0.451
  1.00   1.20   Richards et al. 2006            1  -27.000   -8.745      0.300    0.300    0.147    0.153
  1.00   1.20   Richards et al. 2006            1  -26.400   -8.046      0.300    0.300    0.062    0.063
  1.00   1.20   Richards et al. 2006            1  -25.800   -7.435      0.300    0.300    0.030    0.030
  1.00   1.20   Richards et al. 2006            1  -25.200   -6.883      0.300    0.300    0.016    0.016
  1.00   1.20   Richards et al. 2006            1  -24.600   -6.455      0.300    0.300    0.010    0.010
  1.00   1.20   Richards et al. 2006            1  -24.000   -6.312      0.300    0.300    0.009    0.009
  1.20   1.40   Milliquas DR16Q gG              1  -27.600   -9.453      0.300    0.300    0.203    0.219
  1.20   1.40   Milliquas DR16Q gG              1  -27.000   -8.930      0.300    0.300    0.106    0.109
  1.20   1.40   Milliquas DR16Q gG              1  -26.400   -8.141      0.300    0.300    0.041    0.041
  1.20   1.40   Milliquas DR16Q gG              1  -25.800   -7.588      0.300    0.300    0.021    0.021
  1.20   1.40   Milliquas DR16Q gG              1  -25.200   -7.066      0.300    0.300    0.011    0.012
  1.20   1.40   Milliquas DR16Q gG              1  -24.600   -6.641      0.300    0.300    0.007    0.007
  1.20   1.40   Milliquas DR16Q gG              1  -24.000   -6.537      0.300    0.300    0.006    0.006
  1.20   1.40   Milliquas DR16Q gG              1  -23.400   -6.443      0.300    0.300    0.006    0.006
  1.20   1.40   Milliquas DR16Q gG              1  -22.800   -6.391      0.300    0.300    0.005    0.005
  1.20   1.40   Milliquas DR16Q gG              1  -22.200   -6.569      0.300    0.300    0.006    0.006
  1.20   1.40   Milliquas DR16Q gG              1  -21.600   -7.252      0.300    0.300    0.014    0.014
  1.20   1.40   Milliquas DR16Q gG              1  -21.000   -8.292      0.300    0.300    0.049    0.049
  1.20   1.40   Milliquas DR16Q gG              1  -20.400   -10.231     0.300    0.300    0.518    0.763
  1.20   1.40   Milliquas DR16Q gG              1  -19.200   -10.231     0.300    0.300    0.518    0.763
  1.20   1.40   Milliquas DR16Q gG              1  -18.600   -9.930      0.300    0.300    0.365    0.451
  1.20   1.40   Milliquas DR16 gG               1  -26.400   -9.629      0.300    0.300    0.253    0.283
  1.20   1.40   Milliquas DR16 gG               1  -25.800   -8.588      0.300    0.300    0.070    0.071
  1.20   1.40   Milliquas DR16 gG               1  -25.200   -7.971      0.300    0.300    0.033    0.033
  1.20   1.40   Milliquas DR16 gG               1  -24.600   -7.430      0.300    0.300    0.018    0.018
  1.20   1.40   Milliquas DR16 gG               1  -24.000   -7.070      0.300    0.300    0.012    0.012
  1.20   1.40   Milliquas DR16 gG               1  -23.400   -6.756      0.300    0.300    0.008    0.008
  1.20   1.40   Milliquas DR16 gG               1  -22.800   -6.541      0.300    0.300    0.006    0.006
  1.20   1.40   Milliquas DR16 gG               1  -22.200   -6.673      0.300    0.300    0.007    0.007
  1.20   1.40   Milliquas DR16 gG               1  -21.600   -7.349      0.300    0.300    0.016    0.016
  1.20   1.40   Milliquas DR16 gG               1  -21.000   -8.446      0.300    0.300    0.059    0.059
  1.20   1.40   Milliquas DR16 gG               1  -20.400   -10.231     0.300    0.300    0.518    0.763
  1.20   1.40   Croom et al. 2009               1  -25.800   -7.159      0.300    0.300    0.295    0.341
  1.20   1.40   Croom et al. 2009               1  -25.200   -6.862      0.300    0.300    0.087    0.089
  1.20   1.40   Croom et al. 2009               1  -24.600   -6.373      0.300    0.300    0.050    0.050
  1.20   1.40   Croom et al. 2009               1  -24.000   -6.038      0.300    0.300    0.040    0.040
  1.20   1.40   Croom et al. 2009               1  -23.400   -5.817      0.300    0.300    0.031    0.031
  1.20   1.40   Croom et al. 2009               1  -22.800   -5.594      0.300    0.300    0.024    0.024
  1.20   1.40   Croom et al. 2009               0  -22.200   -5.631      0.300    0.300    0.026    0.026
  1.20   1.40   Croom et al. 2009               0  -21.600   -5.863      0.300    0.300    0.060    0.061
  1.20   1.40   Richards et al. 2006            1  -28.200   -9.785      0.300    0.300    0.518    0.763
  1.20   1.40   Richards et al. 2006            1  -27.600   -9.063      0.300    0.300    0.203    0.219
  1.20   1.40   Richards et al. 2006            1  -27.000   -8.250      0.300    0.300    0.075    0.075
  1.20   1.40   Richards et al. 2006            1  -26.400   -7.770      0.300    0.300    0.042    0.042
  1.20   1.40   Richards et al. 2006            1  -25.800   -7.125      0.300    0.300    0.019    0.019
  1.20   1.40   Richards et al. 2006            1  -25.200   -6.675      0.300    0.300    0.011    0.011
  1.20   1.40   Richards et al. 2006            1  -24.600   -6.283      0.300    0.300    0.007    0.007
  1.20   1.40   Richards et al. 2006            0  -24.000   -6.450      0.300    0.300    0.026    0.026
  1.40   1.60   Milliquas DR16Q gG              1  -27.600   -9.569      0.300    0.300    0.224    0.246
  1.40   1.60   Milliquas DR16Q gG              1  -27.000   -8.586      0.300    0.300    0.067    0.067
  1.40   1.60   Milliquas DR16Q gG              1  -26.400   -7.927      0.300    0.300    0.030    0.030
  1.40   1.60   Milliquas DR16Q gG              1  -25.800   -7.338      0.300    0.300    0.015    0.015
  1.40   1.60   Milliquas DR16Q gG              1  -25.200   -6.845      0.300    0.300    0.009    0.009
  1.40   1.60   Milliquas DR16Q gG              1  -24.600   -6.538      0.300    0.300    0.006    0.006
  1.40   1.60   Milliquas DR16Q gG              1  -24.000   -6.507      0.300    0.300    0.006    0.006
  1.40   1.60   Milliquas DR16Q gG              1  -23.400   -6.388      0.300    0.300    0.005    0.005
  1.40   1.60   Milliquas DR16Q gG              1  -22.800   -6.459      0.300    0.300    0.005    0.005
  1.40   1.60   Milliquas DR16Q gG              1  -22.200   -6.933      0.300    0.300    0.009    0.009
  1.40   1.60   Milliquas DR16Q gG              1  -21.600   -7.910      0.300    0.300    0.030    0.030
  1.40   1.60   Milliquas DR16Q gG              1  -21.000   -9.154      0.300    0.300    0.134    0.139
  1.40   1.60   Milliquas DR16Q gG              1  -20.400   -10.268     0.300    0.300    0.518    0.763
  1.40   1.60   Milliquas DR16 gG               1  -27.000   -9.967      0.300    0.300    0.365    0.451
  1.40   1.60   Milliquas DR16 gG               1  -26.400   -9.226      0.300    0.300    0.147    0.153
  1.40   1.60   Milliquas DR16 gG               1  -25.800   -8.313      0.300    0.300    0.048    0.048
  1.40   1.60   Milliquas DR16 gG               1  -25.200   -7.707      0.300    0.300    0.023    0.023
