# LRD Data from Krishna from Kocevski et al
# Reading columns from the file: ['Survey', 'ID', 'Z_best', 'M_UV - measured at rest-frame 1450A']
# Name                z     M1450
PRIMER-UDS 34899      5.77  -20.01
PRIMER-UDS 35121      5.23  -17.7
PRIMER-UDS 38096      6.4   -19.15
PRIMER-UDS 39469      5.29  -18.59
PRIMER-UDS 40579      4.66  -18.61
PRIMER-UDS 40898      5.47  -19.65
PRIMER-UDS 41039      4.69  -18.27
PRIMER-UDS 42216      4.6   -19.67
PRIMER-UDS 44702      4.63  -20.29
PRIMER-UDS 44877      2.8   -17.88
PRIMER-UDS 45308      5.26  -18.26
PRIMER-UDS 45536      4.69  -17.97
PRIMER-UDS 46014      4.72  -18.92
PRIMER-UDS 46081      4.51  -17.73
PRIMER-UDS 47164      7.96  -19.41
PRIMER-UDS 48715      7.45  -19.38
PRIMER-UDS 60251      7.42  -18.59
PRIMER-UDS 62612      7.42  -19.6
PRIMER-UDS 66751      10.54  -19.32
PRIMER-UDS 68913      7.39  -18.25
PRIMER-UDS 72386      8.89  -19.66
PRIMER-UDS 75424      5.17  -17.26
PRIMER-UDS 76730      5.2   -17.74
PRIMER-UDS 77750      6.97  -18.21
PRIMER-UDS 78549      6.13  -18.93
PRIMER-UDS 81866      7.42  -18.76
PRIMER-UDS 84401      5.47  -17.57
PRIMER-UDS 89614      5.38  -18.16
PRIMER-UDS 92160      7.45  -18.11
PRIMER-UDS 102661     7.48  -17.35
PRIMER-UDS 102711     4.99  -17.64
PRIMER-UDS 104993     6.55  -17.87
PRIMER-UDS 105042     6.04  -17.65
PRIMER-UDS 106389     11.29  -19.29
PRIMER-UDS 113436     7.84  -20.13
PRIMER-UDS 115809     7.33  -18.71
PRIMER-UDS 116251     5.36  -17.81
PRIMER-UDS 117853     5.44  -16.86
PRIMER-UDS 118593     7.66  -19.33
PRIMER-UDS 119639     6.52  -17.65
PRIMER-UDS 120405     3.91  -17.39
PRIMER-UDS 134793     10.57  -18.01
PRIMER-UDS 135543     8.32  -18.77
PRIMER-UDS 139224     7     -17.7
PRIMER-UDS 139484     5.77  -18.97
PRIMER-UDS 144975     7.45  -18.18
PRIMER-UDS 146038     8.89  -18.77
PRIMER-UDS 147500     7.45  -19.72
PRIMER-UDS 147765     5.05  -18.34
PRIMER-UDS 149541     6.61  -17.46
PRIMER-UDS 151408     11.38  -18.91
PRIMER-UDS 151980     10.48  -18.8
PRIMER-UDS 152026     7.42  -18.88
PRIMER-UDS 152826     7.03  -19.45
PRIMER-UDS 153498     7     -16.98
PRIMER-UDS 158644     7.48  -17.83
PRIMER-UDS 159206     7.9   -18.53
PRIMER-UDS 161988     6.94  -19.38
PRIMER-UDS 165526     6.64  -17.64
PRIMER-UDS 165865     5.2   -17.91
PRIMER-UDS 170710     7.6   -17.25
PRIMER-UDS 173887     10    -19.19
PRIMER-UDS 177350     7.63  -18.23
PRIMER-UDS 178738     6.55  -18.01
PRIMER-UDS 181563     7.21  -18.5
PRIMER-UDS 183087     5.26  -16.87
PRIMER-UDS 191132     7.48  -18.8
PRIMER-UDS 191777     7.33  -18.46
UNCOVER 1831          5.17  -16.77
UNCOVER 2918          4.36  -19.65
UNCOVER 3345          6.79  -19.82
UNCOVER 3943          4.75  -19.65
UNCOVER 3989          6.76  -19.41
UNCOVER 4535          4.96  -19.05
UNCOVER 8843          7.54  -18.65
UNCOVER 9358          6.34  -18.63
UNCOVER 9447          3.25  -18.47
UNCOVER 9497          7.04  -18.72
UNCOVER 9858          8.65  -21.85
UNCOVER 9904          5.05  -18.98
UNCOVER 10799         3.97  -18.15
UNCOVER 11119         5.84  -18.49
UNCOVER 12512         9.04  -19.79
UNCOVER 15619         9.13  -19.13
UNCOVER 23908         5.71  -16.88
UNCOVER 25119         7.04  -17.69
UNCOVER 26742         5.71  -18.53
UNCOVER 29255         8.5   -18.18
UNCOVER 33626         3.82  -16.3
UNCOVER 34404         6.01  -18.28
UNCOVER 35436         6.74  -18.93
