# LRD Data from Krishna from Kocevski et al
# Survey: NGDEEP
# The value or p is taken to be 1 for now
# counter   z       M1450   p
  288       3.55    -17.95  1.00000
  289       3.55    -17.90  1.00000
  290       3.55    -17.85  1.00000
  291       3.55    -17.80  1.00000
  292       3.55    -17.75  1.00000
  293       3.55    -17.70  1.00000
  294       3.55    -17.65  1.00000
  295       3.55    -17.60  1.00000
  296       3.55    -17.55  1.00000
  297       3.55    -17.50  1.00000
  298       3.55    -17.45  1.00000
  299       3.55    -17.40  1.00000
  300       3.55    -17.35  1.00000
  301       3.55    -17.30  1.00000
  302       3.55    -17.25  1.00000
  303       3.55    -17.20  1.00000
  304       3.55    -17.15  1.00000
  305       3.55    -17.10  1.00000
  306       3.55    -17.05  1.00000
  307       3.55    -17.00  1.00000
  308       3.55    -16.95  1.00000
  309       3.55    -16.90  1.00000
  310       3.55    -16.85  1.00000
  311       3.55    -16.80  1.00000
  312       3.55    -16.75  1.00000
  313       3.55    -16.70  1.00000
  314       3.55    -16.65  1.00000
  315       3.55    -16.60  1.00000
  316       3.55    -16.55  1.00000
  317       3.55    -16.50  1.00000
  318       3.55    -16.45  1.00000
  319       3.55    -16.40  1.00000
  320       3.55    -16.35  1.00000
  321       3.55    -16.30  1.00000
  322       3.55    -16.25  1.00000
  323       3.55    -16.20  1.00000
  324       3.55    -16.15  1.00000
  325       3.55    -16.10  1.00000
  326       3.55    -16.05  1.00000
  327       3.55    -16.00  1.00000
  328       3.55    -15.95  1.00000
  329       3.55    -15.90  1.00000
  330       3.55    -15.85  1.00000
  331       3.55    -15.80  1.00000
  332       3.55    -15.75  1.00000
  333       3.55    -15.70  1.00000
  334       3.55    -15.65  1.00000
  335       3.55    -15.60  1.00000
  336       3.55    -15.55  1.00000
  337       3.55    -15.50  1.00000
  338       3.55    -15.45  1.00000
  339       3.55    -15.40  1.00000
  340       3.55    -15.35  1.00000
  341       3.55    -15.30  1.00000
  342       3.55    -15.25  1.00000
  343       3.55    -15.20  1.00000
  344       3.55    -15.15  1.00000
  345       3.55    -15.10  1.00000
  346       3.55    -15.05  1.00000
  347       3.55    -15.00  1.00000
  348       3.55    -14.95  1.00000
  349       3.60    -20.70  1.00000
  350       3.60    -20.65  1.00000
  351       3.60    -20.60  1.00000
  352       3.60    -20.55  1.00000
  353       3.60    -20.50  1.00000
  354       3.60    -20.45  1.00000
  355       3.60    -20.40  1.00000
  356       3.60    -20.35  1.00000
  357       3.60    -20.30  1.00000
  358       3.60    -20.25  1.00000
  359       3.60    -20.20  1.00000
  360       3.60    -20.15  1.00000
  361       3.60    -20.10  1.00000
  362       3.60    -20.05  1.00000
  363       3.60    -20.00  1.00000
  364       3.60    -19.95  1.00000
  365       3.60    -19.90  1.00000
  366       3.60    -19.85  1.00000
  367       3.60    -19.80  1.00000
  368       3.60    -19.75  1.00000
  369       3.60    -19.70  1.00000
  370       3.60    -19.65  1.00000
  371       3.60    -19.60  1.00000
  372       3.60    -19.55  1.00000
  373       3.60    -19.50  1.00000
  374       3.60    -19.45  1.00000
  375       3.60    -19.40  1.00000
  376       3.60    -19.35  1.00000
  377       3.60    -19.30  1.00000
  378       3.60    -19.25  1.00000
  379       3.60    -19.20  1.00000
  380       3.60    -19.15  1.00000
  381       3.60    -19.10  1.00000
  382       3.60    -19.05  1.00000
  383       3.60    -19.00  1.00000
  384       3.60    -18.95  1.00000
  385       3.60    -18.90  1.00000
  386       3.60    -18.85  1.00000
  387       3.60    -18.80  1.00000
  388       3.60    -18.75  1.00000
  389       3.60    -18.70  1.00000
  390       3.60    -18.65  1.00000
  391       3.60    -18.60  1.00000
  392       3.60    -18.55  1.00000
  393       3.60    -18.50  1.00000
  394       3.60    -18.45  1.00000
  395       3.60    -18.40  1.00000
  396       3.60    -18.35  1.00000
  397       3.60    -18.30  1.00000
  398       3.60    -18.25  1.00000
  399       3.60    -18.20  1.00000
  400       3.60    -18.15  1.00000
  401       3.60    -18.10  1.00000
  402       3.60    -18.05  1.00000
  403       3.60    -18.00  1.00000
  404       3.60    -17.95  1.00000
  405       3.60    -17.90  1.00000
  406       3.60    -17.85  1.00000
  407       3.60    -17.80  1.00000
  408       3.60    -17.75  1.00000
  409       3.60    -17.70  1.00000
  410       3.60    -17.65  1.00000
  411       3.60    -17.60  1.00000
  412       3.60    -17.55  1.00000
  413       3.60    -17.50  1.00000
  414       3.60    -17.45  1.00000
  415       3.60    -17.40  1.00000
  416       3.60    -17.35  1.00000
  417       3.60    -17.30  1.00000
  418       3.60    -17.25  1.00000
  419       3.60    -17.20  1.00000
  420       3.60    -17.15  1.00000
  421       3.60    -17.10  1.00000
  422       3.60    -17.05  1.00000
  423       3.60    -17.00  1.00000
  424       3.60    -16.95  1.00000
  425       3.60    -16.90  1.00000
  426       3.60    -16.85  1.00000
  427       3.60    -16.80  1.00000
  428       3.60    -16.75  1.00000
  429       3.60    -16.70  1.00000
  430       3.60    -16.65  1.00000
  431       3.60    -16.60  1.00000
  432       3.60    -16.55  1.00000
  433       3.60    -16.50  1.00000
  434       3.60    -16.45  1.00000
  435       3.60    -16.40  1.00000
  436       3.60    -16.35  1.00000
  437       3.60    -16.30  1.00000
  438       3.60    -16.25  1.00000
  439       3.60    -16.20  1.00000
  440       3.60    -16.15  1.00000
  441       3.60    -16.10  1.00000
  442       3.60    -16.05  1.00000
  443       3.60    -16.00  1.00000
  444       3.60    -15.95  1.00000
  445       3.60    -15.90  1.00000
  446       3.60    -15.85  1.00000
  447       3.60    -15.80  1.00000
  448       3.60    -15.75  1.00000
  449       3.60    -15.70  1.00000
  450       3.60    -15.65  1.00000
  451       3.60    -15.60  1.00000
  452       3.60    -15.55  1.00000
  453       3.60    -15.50  1.00000
  454       3.60    -15.45  1.00000
  455       3.60    -15.40  1.00000
  456       3.60    -15.35  1.00000
  457       3.60    -15.30  1.00000
  458       3.60    -15.25  1.00000
  459       3.60    -15.20  1.00000
  460       3.60    -15.15  1.00000
  461       3.60    -15.10  1.00000
  462       3.60    -15.05  1.00000
  463       3.60    -15.00  1.00000
  464       3.60    -14.95  1.00000
  465       3.65    -20.70  1.00000
  466       3.65    -20.65  1.00000
  467       3.65    -20.60  1.00000
  468       3.65    -20.55  1.00000
  469       3.65    -20.50  1.00000
  470       3.65    -20.45  1.00000
  471       3.65    -20.40  1.00000
  472       3.65    -20.35  1.00000
  473       3.65    -20.30  1.00000
  474       3.65    -20.25  1.00000
  475       3.65    -20.20  1.00000
  476       3.65    -20.15  1.00000
  477       3.65    -20.10  1.00000
  478       3.65    -20.05  1.00000
  479       3.65    -20.00  1.00000
  480       3.65    -19.95  1.00000
  481       3.65    -19.90  1.00000
  482       3.65    -19.85  1.00000
  483       3.65    -19.80  1.00000
  484       3.65    -19.75  1.00000
  485       3.65    -19.70  1.00000
  486       3.65    -19.65  1.00000
  487       3.65    -19.60  1.00000
  488       3.65    -19.55  1.00000
  489       3.65    -19.50  1.00000
  490       3.65    -19.45  1.00000
  491       3.65    -19.40  1.00000
  492       3.65    -19.35  1.00000
  493       3.65    -19.30  1.00000
  494       3.65    -19.25  1.00000
  495       3.65    -19.20  1.00000
  496       3.65    -19.15  1.00000
  497       3.65    -19.10  1.00000
  498       3.65    -19.05  1.00000
  499       3.65    -19.00  1.00000
  500       3.65    -18.95  1.00000
  501       3.65    -18.90  1.00000
  502       3.65    -18.85  1.00000
  503       3.65    -18.80  1.00000
  504       3.65    -18.75  1.00000
  505       3.65    -18.70  1.00000
  506       3.65    -18.65  1.00000
  507       3.65    -18.60  1.00000
  508       3.65    -18.55  1.00000
  509       3.65    -18.50  1.00000
  510       3.65    -18.45  1.00000
  511       3.65    -18.40  1.00000
  512       3.65    -18.35  1.00000
  513       3.65    -18.30  1.00000
  514       3.65    -18.25  1.00000
  515       3.65    -18.20  1.00000
  516       3.65    -18.15  1.00000
  517       3.65    -18.10  1.00000
  518       3.65    -18.05  1.00000
  519       3.65    -18.00  1.00000
  520       3.65    -17.95  1.00000
  521       3.65    -17.90  1.00000
  522       3.65    -17.85  1.00000
  523       3.65    -17.80  1.00000
  524       3.65    -17.75  1.00000
  525       3.65    -17.70  1.00000
  526       3.65    -17.65  1.00000
  527       3.65    -17.60  1.00000
  528       3.65    -17.55  1.00000
  529       3.65    -17.50  1.00000
  530       3.65    -17.45  1.00000
  531       3.65    -17.40  1.00000
  532       3.65    -17.35  1.00000
  533       3.65    -17.30  1.00000
  534       3.65    -17.25  1.00000
  535       3.65    -17.20  1.00000
  536       3.65    -17.15  1.00000
  537       3.65    -17.10  1.00000
  538       3.65    -17.05  1.00000
  539       3.65    -17.00  1.00000
  540       3.65    -16.95  1.00000
  541       3.65    -16.90  1.00000
  542       3.65    -16.85  1.00000
  543       3.65    -16.80  1.00000
  544       3.65    -16.75  1.00000
  545       3.65    -16.70  1.00000
  546       3.65    -16.65  1.00000
  547       3.65    -16.60  1.00000
  548       3.65    -16.55  1.00000
  549       3.65    -16.50  1.00000
  550       3.65    -16.45  1.00000
  551       3.65    -16.40  1.00000
  552       3.65    -16.35  1.00000
  553       3.65    -16.30  1.00000
  554       3.65    -16.25  1.00000
  555       3.65    -16.20  1.00000
  556       3.65    -16.15  1.00000
  557       3.65    -16.10  1.00000
  558       3.65    -16.05  1.00000
  559       3.65    -16.00  1.00000
  560       3.65    -15.95  1.00000
  561       3.65    -15.90  1.00000
  562       3.65    -15.85  1.00000
  563       3.65    -15.80  1.00000
  564       3.65    -15.75  1.00000
  565       3.65    -15.70  1.00000
  566       3.65    -15.65  1.00000
  567       3.65    -15.60  1.00000
  568       3.65    -15.55  1.00000
  569       3.65    -15.50  1.00000
  570       3.65    -15.45  1.00000
  571       3.65    -15.40  1.00000
  572       3.65    -15.35  1.00000
  573       3.65    -15.30  1.00000
  574       3.65    -15.25  1.00000
  575       3.65    -15.20  1.00000
  576       3.65    -15.15  1.00000
  577       3.65    -15.10  1.00000
  578       3.65    -15.05  1.00000
  579       3.65    -15.00  1.00000
  580       3.65    -14.95  1.00000
  581       3.70    -20.70  1.00000
  582       3.70    -20.65  1.00000
  583       3.70    -20.60  1.00000
  584       3.70    -20.55  1.00000
  585       3.70    -20.50  1.00000
  586       3.70    -20.45  1.00000
  587       3.70    -20.40  1.00000
  588       3.70    -20.35  1.00000
  589       3.70    -20.30  1.00000
  590       3.70    -20.25  1.00000
  591       3.70    -20.20  1.00000
  592       3.70    -20.15  1.00000
  593       3.70    -20.10  1.00000
  594       3.70    -20.05  1.00000
  595       3.70    -20.00  1.00000
  596       3.70    -19.95  1.00000
  597       3.70    -19.90  1.00000
  598       3.70    -19.85  1.00000
  599       3.70    -19.80  1.00000
  600       3.70    -19.75  1.00000
  601       3.70    -19.70  1.00000
  602       3.70    -19.65  1.00000
  603       3.70    -19.60  1.00000
  604       3.70    -19.55  1.00000
  605       3.70    -19.50  1.00000
  606       3.70    -19.45  1.00000
  607       3.70    -19.40  1.00000
  608       3.70    -19.35  1.00000
  609       3.70    -19.30  1.00000
  610       3.70    -19.25  1.00000
  611       3.70    -19.20  1.00000
  612       3.70    -19.15  1.00000
  613       3.70    -19.10  1.00000
  614       3.70    -19.05  1.00000
  615       3.70    -19.00  1.00000
  616       3.70    -18.95  1.00000
  617       3.70    -18.90  1.00000
  618       3.70    -18.85  1.00000
  619       3.70    -18.80  1.00000
  620       3.70    -18.75  1.00000
  621       3.70    -18.70  1.00000
  622       3.70    -18.65  1.00000
  623       3.70    -18.60  1.00000
  624       3.70    -18.55  1.00000
  625       3.70    -18.50  1.00000
  626       3.70    -18.45  1.00000
  627       3.70    -18.40  1.00000
  628       3.70    -18.35  1.00000
  629       3.70    -18.30  1.00000
  630       3.70    -18.25  1.00000
  631       3.70    -18.20  1.00000
  632       3.70    -18.15  1.00000
  633       3.70    -18.10  1.00000
  634       3.70    -18.05  1.00000
  635       3.70    -18.00  1.00000
  636       3.70    -17.95  1.00000
  637       3.70    -17.90  1.00000
  638       3.70    -17.85  1.00000
  639       3.70    -17.80  1.00000
  640       3.70    -17.75  1.00000
  641       3.70    -17.70  1.00000
  642       3.70    -17.65  1.00000
  643       3.70    -17.60  1.00000
  644       3.70    -17.55  1.00000
  645       3.70    -17.50  1.00000
  646       3.70    -17.45  1.00000
  647       3.70    -17.40  1.00000
  648       3.70    -17.35  1.00000
  649       3.70    -17.30  1.00000
  650       3.70    -17.25  1.00000
  651       3.70    -17.20  1.00000
  652       3.70    -17.15  1.00000
  653       3.70    -17.10  1.00000
  654       3.70    -17.05  1.00000
  655       3.70    -17.00  1.00000
  656       3.70    -16.95  1.00000
  657       3.70    -16.90  1.00000
  658       3.70    -16.85  1.00000
  659       3.70    -16.80  1.00000
  660       3.70    -16.75  1.00000
  661       3.70    -16.70  1.00000
  662       3.70    -16.65  1.00000
  663       3.70    -16.60  1.00000
  664       3.70    -16.55  1.00000
  665       3.70    -16.50  1.00000
  666       3.70    -16.45  1.00000
  667       3.70    -16.40  1.00000
  668       3.70    -16.35  1.00000
  669       3.70    -16.30  1.00000
  670       3.70    -16.25  1.00000
  671       3.70    -16.20  1.00000
  672       3.70    -16.15  1.00000
  673       3.70    -16.10  1.00000
  674       3.70    -16.05  1.00000
  675       3.70    -16.00  1.00000
  676       3.70    -15.95  1.00000
  677       3.70    -15.90  1.00000
  678       3.70    -15.85  1.00000
  679       3.70    -15.80  1.00000
  680       3.70    -15.75  1.00000
  681       3.70    -15.70  1.00000
  682       3.70    -15.65  1.00000
  683       3.70    -15.60  1.00000
  684       3.70    -15.55  1.00000
  685       3.70    -15.50  1.00000
  686       3.70    -15.45  1.00000
  687       3.70    -15.40  1.00000
  688       3.70    -15.35  1.00000
  689       3.70    -15.30  1.00000
  690       3.70    -15.25  1.00000
  691       3.70    -15.20  1.00000
  692       3.70    -15.15  1.00000
  693       3.70    -15.10  1.00000
  694       3.70    -15.05  1.00000
  695       3.70    -15.00  1.00000
  696       3.70    -14.95  1.00000
  697       3.75    -20.70  1.00000
  698       3.75    -20.65  1.00000
  699       3.75    -20.60  1.00000
  700       3.75    -20.55  1.00000
  701       3.75    -20.50  1.00000
  702       3.75    -20.45  1.00000
  703       3.75    -20.40  1.00000
  704       3.75    -20.35  1.00000
  705       3.75    -20.30  1.00000
  706       3.75    -20.25  1.00000
  707       3.75    -20.20  1.00000
  708       3.75    -20.15  1.00000
  709       3.75    -20.10  1.00000
  710       3.75    -20.05  1.00000
  711       3.75    -20.00  1.00000
  712       3.75    -19.95  1.00000
  713       3.75    -19.90  1.00000
  714       3.75    -19.85  1.00000
  715       3.75    -19.80  1.00000
  716       3.75    -19.75  1.00000
  717       3.75    -19.70  1.00000
  718       3.75    -19.65  1.00000
  719       3.75    -19.60  1.00000
  720       3.75    -19.55  1.00000
  721       3.75    -19.50  1.00000
  722       3.75    -19.45  1.00000
  723       3.75    -19.40  1.00000
  724       3.75    -19.35  1.00000
  725       3.75    -19.30  1.00000
  726       3.75    -19.25  1.00000
  727       3.75    -19.20  1.00000
  728       3.75    -19.15  1.00000
  729       3.75    -19.10  1.00000
  730       3.75    -19.05  1.00000
  731       3.75    -19.00  1.00000
  732       3.75    -18.95  1.00000
  733       3.75    -18.90  1.00000
  734       3.75    -18.85  1.00000
  735       3.75    -18.80  1.00000
  736       3.75    -18.75  1.00000
  737       3.75    -18.70  1.00000
  738       3.75    -18.65  1.00000
  739       3.75    -18.60  1.00000
  740       3.75    -18.55  1.00000
  741       3.75    -18.50  1.00000
  742       3.75    -18.45  1.00000
  743       3.75    -18.40  1.00000
  744       3.75    -18.35  1.00000
  745       3.75    -18.30  1.00000
  746       3.75    -18.25  1.00000
  747       3.75    -18.20  1.00000
  748       3.75    -18.15  1.00000
  749       3.75    -18.10  1.00000
  750       3.75    -18.05  1.00000
  751       3.75    -18.00  1.00000
  752       3.75    -17.95  1.00000
  753       3.75    -17.90  1.00000
  754       3.75    -17.85  1.00000
  755       3.75    -17.80  1.00000
  756       3.75    -17.75  1.00000
  757       3.75    -17.70  1.00000
  758       3.75    -17.65  1.00000
  759       3.75    -17.60  1.00000
  760       3.75    -17.55  1.00000
  761       3.75    -17.50  1.00000
  762       3.75    -17.45  1.00000
  763       3.75    -17.40  1.00000
  764       3.75    -17.35  1.00000
  765       3.75    -17.30  1.00000
  766       3.75    -17.25  1.00000
  767       3.75    -17.20  1.00000
  768       3.75    -17.15  1.00000
  769       3.75    -17.10  1.00000
  770       3.75    -17.05  1.00000
  771       3.75    -17.00  1.00000
  772       3.75    -16.95  1.00000
  773       3.75    -16.90  1.00000
  774       3.75    -16.85  1.00000
  775       3.75    -16.80  1.00000
  776       3.75    -16.75  1.00000
  777       3.75    -16.70  1.00000
  778       3.75    -16.65  1.00000
  779       3.75    -16.60  1.00000
  780       3.75    -16.55  1.00000
  781       3.75    -16.50  1.00000
  782       3.75    -16.45  1.00000
  783       3.75    -16.40  1.00000
  784       3.75    -16.35  1.00000
  785       3.75    -16.30  1.00000
  786       3.75    -16.25  1.00000
  787       3.75    -16.20  1.00000
  788       3.75    -16.15  1.00000
  789       3.75    -16.10  1.00000
  790       3.75    -16.05  1.00000
  791       3.75    -16.00  1.00000
  792       3.75    -15.95  1.00000
  793       3.75    -15.90  1.00000
  794       3.75    -15.85  1.00000
  795       3.75    -15.80  1.00000
  796       3.75    -15.75  1.00000
  797       3.75    -15.70  1.00000
  798       3.75    -15.65  1.00000
  799       3.75    -15.60  1.00000
  800       3.75    -15.55  1.00000
  801       3.75    -15.50  1.00000
  802       3.75    -15.45  1.00000
  803       3.75    -15.40  1.00000
  804       3.75    -15.35  1.00000
  805       3.75    -15.30  1.00000
  806       3.75    -15.25  1.00000
  807       3.75    -15.20  1.00000
  808       3.75    -15.15  1.00000
  809       3.75    -15.10  1.00000
  810       3.75    -15.05  1.00000
  811       3.75    -15.00  1.00000
  812       3.75    -14.95  1.00000
