# LRD Data from Krishna from Kocevski et al
# Survey: CEERS
# The value or p is taken to be 1 for now
# counter   z       M1450   p
  456       2.55    -21.17  1.00000
  457       2.55    -21.12  1.00000
  458       2.55    -21.07  1.00000
  459       2.55    -21.02  1.00000
  460       2.55    -20.97  1.00000
  461       2.55    -20.92  1.00000
  462       2.55    -20.87  1.00000
  463       2.55    -20.82  1.00000
  464       2.55    -20.77  1.00000
  465       2.55    -20.72  1.00000
  466       2.55    -20.67  1.00000
  467       2.55    -20.62  1.00000
  468       2.55    -20.57  1.00000
  469       2.55    -20.52  1.00000
  470       2.55    -20.47  1.00000
  471       2.55    -20.42  1.00000
  472       2.55    -20.37  1.00000
  473       2.55    -20.32  1.00000
  474       2.55    -20.27  1.00000
  475       2.55    -20.22  1.00000
  476       2.55    -20.17  1.00000
  477       2.55    -20.12  1.00000
  478       2.55    -20.07  1.00000
  479       2.55    -20.02  1.00000
  480       2.55    -19.97  1.00000
  481       2.55    -19.92  1.00000
  482       2.55    -19.87  1.00000
  483       2.55    -19.82  1.00000
  484       2.55    -19.77  1.00000
  485       2.55    -19.72  1.00000
  486       2.55    -19.67  1.00000
  487       2.55    -19.62  1.00000
  488       2.55    -19.57  1.00000
  489       2.55    -19.52  1.00000
  490       2.55    -19.47  1.00000
  491       2.55    -19.42  1.00000
  492       2.55    -19.37  1.00000
  493       2.55    -19.32  1.00000
  494       2.55    -19.27  1.00000
  495       2.55    -19.22  1.00000
  496       2.55    -19.17  1.00000
  497       2.55    -19.12  1.00000
  498       2.55    -19.07  1.00000
  499       2.55    -19.02  1.00000
  500       2.55    -18.97  1.00000
  501       2.55    -18.92  1.00000
  502       2.55    -18.87  1.00000
  503       2.55    -18.82  1.00000
  504       2.55    -18.77  1.00000
  505       2.55    -18.72  1.00000
  506       2.55    -18.67  1.00000
  507       2.55    -18.62  1.00000
  508       2.55    -18.57  1.00000
  509       2.55    -18.52  1.00000
  510       2.55    -18.47  1.00000
  511       2.55    -18.42  1.00000
  512       2.55    -18.37  1.00000
  513       2.55    -18.32  1.00000
  514       2.55    -18.27  1.00000
  515       2.55    -18.22  1.00000
  516       2.55    -18.17  1.00000
  517       2.55    -18.12  1.00000
  518       2.55    -18.07  1.00000
  519       2.55    -18.02  1.00000
  520       2.55    -17.97  1.00000
  521       2.55    -17.92  1.00000
  522       2.55    -17.87  1.00000
  523       2.55    -17.82  1.00000
  524       2.55    -17.77  1.00000
  525       2.55    -17.72  1.00000
  526       2.55    -17.67  1.00000
  527       2.55    -17.62  1.00000
  528       2.55    -17.57  1.00000
  529       2.55    -17.52  1.00000
  530       2.55    -17.47  1.00000
  531       2.55    -17.42  1.00000
  532       2.55    -17.37  1.00000
  533       2.55    -17.32  1.00000
  534       2.55    -17.27  1.00000
  535       2.55    -17.22  1.00000
  536       2.55    -17.17  1.00000
  537       2.55    -17.12  1.00000
  538       2.55    -17.07  1.00000
  539       2.55    -17.02  1.00000
  540       2.55    -16.97  1.00000
  541       2.55    -16.92  1.00000
  542       2.55    -16.87  1.00000
  543       2.55    -16.82  1.00000
  544       2.55    -16.77  1.00000
  545       2.55    -16.72  1.00000
  546       2.55    -16.67  1.00000
  547       2.55    -16.62  1.00000
  548       2.55    -16.57  1.00000
  549       2.55    -16.52  1.00000
  550       2.55    -16.47  1.00000
  551       2.55    -16.42  1.00000
  552       2.55    -16.37  1.00000
  553       2.55    -16.32  1.00000
  554       2.55    -16.27  1.00000
  555       2.55    -16.22  1.00000
  556       2.55    -16.17  1.00000
  557       2.55    -16.12  1.00000
  558       2.55    -16.07  1.00000
  559       2.55    -16.02  1.00000
  560       2.55    -15.97  1.00000
  561       2.55    -15.92  1.00000
  562       2.55    -15.87  1.00000
  563       2.55    -15.82  1.00000
  564       2.55    -15.77  1.00000
  565       2.55    -15.72  1.00000
  566       2.55    -15.67  1.00000
  567       2.55    -15.62  1.00000
  568       2.55    -15.57  1.00000
  569       2.55    -15.52  1.00000
  570       2.55    -15.47  1.00000
  571       2.55    -15.42  1.00000
  572       2.55    -15.37  1.00000
  573       2.60    -22.47  1.00000
  574       2.60    -22.42  1.00000
  575       2.60    -22.37  1.00000
  576       2.60    -22.32  1.00000
  577       2.60    -22.27  1.00000
  578       2.60    -22.22  1.00000
  579       2.60    -22.17  1.00000
  580       2.60    -22.12  1.00000
  581       2.60    -22.07  1.00000
  582       2.60    -22.02  1.00000
  583       2.60    -21.97  1.00000
  584       2.60    -21.92  1.00000
  585       2.60    -21.87  1.00000
  586       2.60    -21.82  1.00000
  587       2.60    -21.77  1.00000
  588       2.60    -21.72  1.00000
  589       2.60    -21.67  1.00000
  590       2.60    -21.62  1.00000
  591       2.60    -21.57  1.00000
  592       2.60    -21.52  1.00000
  593       2.60    -21.47  1.00000
  594       2.60    -21.42  1.00000
  595       2.60    -21.37  1.00000
  596       2.60    -21.32  1.00000
  597       2.60    -21.27  1.00000
  598       2.60    -21.22  1.00000
  599       2.60    -21.17  1.00000
  600       2.60    -21.12  1.00000
  601       2.60    -21.07  1.00000
  602       2.60    -21.02  1.00000
  603       2.60    -20.97  1.00000
  604       2.60    -20.92  1.00000
  605       2.60    -20.87  1.00000
  606       2.60    -20.82  1.00000
  607       2.60    -20.77  1.00000
  608       2.60    -20.72  1.00000
  609       2.60    -20.67  1.00000
  610       2.60    -20.62  1.00000
  611       2.60    -20.57  1.00000
  612       2.60    -20.52  1.00000
  613       2.60    -20.47  1.00000
  614       2.60    -20.42  1.00000
  615       2.60    -20.37  1.00000
  616       2.60    -20.32  1.00000
  617       2.60    -20.27  1.00000
  618       2.60    -20.22  1.00000
  619       2.60    -20.17  1.00000
  620       2.60    -20.12  1.00000
  621       2.60    -20.07  1.00000
  622       2.60    -20.02  1.00000
  623       2.60    -19.97  1.00000
  624       2.60    -19.92  1.00000
  625       2.60    -19.87  1.00000
  626       2.60    -19.82  1.00000
  627       2.60    -19.77  1.00000
  628       2.60    -19.72  1.00000
  629       2.60    -19.67  1.00000
  630       2.60    -19.62  1.00000
  631       2.60    -19.57  1.00000
  632       2.60    -19.52  1.00000
  633       2.60    -19.47  1.00000
  634       2.60    -19.42  1.00000
  635       2.60    -19.37  1.00000
  636       2.60    -19.32  1.00000
  637       2.60    -19.27  1.00000
  638       2.60    -19.22  1.00000
  639       2.60    -19.17  1.00000
  640       2.60    -19.12  1.00000
  641       2.60    -19.07  1.00000
  642       2.60    -19.02  1.00000
  643       2.60    -18.97  1.00000
  644       2.60    -18.92  1.00000
  645       2.60    -18.87  1.00000
  646       2.60    -18.82  1.00000
  647       2.60    -18.77  1.00000
  648       2.60    -18.72  1.00000
  649       2.60    -18.67  1.00000
  650       2.60    -18.62  1.00000
  651       2.60    -18.57  1.00000
  652       2.60    -18.52  1.00000
  653       2.60    -18.47  1.00000
  654       2.60    -18.42  1.00000
  655       2.60    -18.37  1.00000
  656       2.60    -18.32  1.00000
  657       2.60    -18.27  1.00000
  658       2.60    -18.22  1.00000
  659       2.60    -18.17  1.00000
  660       2.60    -18.12  1.00000
  661       2.60    -18.07  1.00000
  662       2.60    -18.02  1.00000
  663       2.60    -17.97  1.00000
  664       2.60    -17.92  1.00000
  665       2.60    -17.87  1.00000
  666       2.60    -17.82  1.00000
  667       2.60    -17.77  1.00000
  668       2.60    -17.72  1.00000
  669       2.60    -17.67  1.00000
  670       2.60    -17.62  1.00000
  671       2.60    -17.57  1.00000
  672       2.60    -17.52  1.00000
  673       2.60    -17.47  1.00000
  674       2.60    -17.42  1.00000
  675       2.60    -17.37  1.00000
  676       2.60    -17.32  1.00000
  677       2.60    -17.27  1.00000
  678       2.60    -17.22  1.00000
  679       2.60    -17.17  1.00000
  680       2.60    -17.12  1.00000
  681       2.60    -17.07  1.00000
  682       2.60    -17.02  1.00000
  683       2.60    -16.97  1.00000
  684       2.60    -16.92  1.00000
  685       2.60    -16.87  1.00000
  686       2.60    -16.82  1.00000
  687       2.60    -16.77  1.00000
  688       2.60    -16.72  1.00000
  689       2.60    -16.67  1.00000
  690       2.60    -16.62  1.00000
  691       2.60    -16.57  1.00000
  692       2.60    -16.52  1.00000
  693       2.60    -16.47  1.00000
  694       2.60    -16.42  1.00000
  695       2.60    -16.37  1.00000
  696       2.60    -16.32  1.00000
  697       2.60    -16.27  1.00000
  698       2.60    -16.22  1.00000
  699       2.60    -16.17  1.00000
  700       2.60    -16.12  1.00000
  701       2.60    -16.07  1.00000
  702       2.60    -16.02  1.00000
  703       2.60    -15.97  1.00000
  704       2.60    -15.92  1.00000
  705       2.60    -15.87  1.00000
  706       2.60    -15.82  1.00000
  707       2.60    -15.77  1.00000
  708       2.60    -15.72  1.00000
  709       2.60    -15.67  1.00000
  710       2.60    -15.62  1.00000
  711       2.60    -15.57  1.00000
  712       2.60    -15.52  1.00000
  713       2.60    -15.47  1.00000
  714       2.60    -15.42  1.00000
  715       2.60    -15.37  1.00000
  716       2.65    -22.47  1.00000
  717       2.65    -22.42  1.00000
  718       2.65    -22.37  1.00000
  719       2.65    -22.32  1.00000
  720       2.65    -22.27  1.00000
  721       2.65    -22.22  1.00000
  722       2.65    -22.17  1.00000
  723       2.65    -22.12  1.00000
  724       2.65    -22.07  1.00000
  725       2.65    -22.02  1.00000
  726       2.65    -21.97  1.00000
  727       2.65    -21.92  1.00000
  728       2.65    -21.87  1.00000
  729       2.65    -21.82  1.00000
  730       2.65    -21.77  1.00000
  731       2.65    -21.72  1.00000
  732       2.65    -21.67  1.00000
  733       2.65    -21.62  1.00000
  734       2.65    -21.57  1.00000
  735       2.65    -21.52  1.00000
  736       2.65    -21.47  1.00000
  737       2.65    -21.42  1.00000
  738       2.65    -21.37  1.00000
  739       2.65    -21.32  1.00000
  740       2.65    -21.27  1.00000
  741       2.65    -21.22  1.00000
  742       2.65    -21.17  1.00000
  743       2.65    -21.12  1.00000
  744       2.65    -21.07  1.00000
  745       2.65    -21.02  1.00000
  746       2.65    -20.97  1.00000
  747       2.65    -20.92  1.00000
  748       2.65    -20.87  1.00000
  749       2.65    -20.82  1.00000
  750       2.65    -20.77  1.00000
  751       2.65    -20.72  1.00000
  752       2.65    -20.67  1.00000
  753       2.65    -20.62  1.00000
  754       2.65    -20.57  1.00000
  755       2.65    -20.52  1.00000
  756       2.65    -20.47  1.00000
  757       2.65    -20.42  1.00000
  758       2.65    -20.37  1.00000
  759       2.65    -20.32  1.00000
  760       2.65    -20.27  1.00000
  761       2.65    -20.22  1.00000
  762       2.65    -20.17  1.00000
  763       2.65    -20.12  1.00000
  764       2.65    -20.07  1.00000
  765       2.65    -20.02  1.00000
  766       2.65    -19.97  1.00000
  767       2.65    -19.92  1.00000
  768       2.65    -19.87  1.00000
  769       2.65    -19.82  1.00000
  770       2.65    -19.77  1.00000
  771       2.65    -19.72  1.00000
  772       2.65    -19.67  1.00000
  773       2.65    -19.62  1.00000
  774       2.65    -19.57  1.00000
  775       2.65    -19.52  1.00000
  776       2.65    -19.47  1.00000
  777       2.65    -19.42  1.00000
  778       2.65    -19.37  1.00000
  779       2.65    -19.32  1.00000
  780       2.65    -19.27  1.00000
  781       2.65    -19.22  1.00000
  782       2.65    -19.17  1.00000
  783       2.65    -19.12  1.00000
  784       2.65    -19.07  1.00000
  785       2.65    -19.02  1.00000
  786       2.65    -18.97  1.00000
  787       2.65    -18.92  1.00000
  788       2.65    -18.87  1.00000
  789       2.65    -18.82  1.00000
  790       2.65    -18.77  1.00000
  791       2.65    -18.72  1.00000
  792       2.65    -18.67  1.00000
  793       2.65    -18.62  1.00000
  794       2.65    -18.57  1.00000
  795       2.65    -18.52  1.00000
  796       2.65    -18.47  1.00000
  797       2.65    -18.42  1.00000
  798       2.65    -18.37  1.00000
  799       2.65    -18.32  1.00000
  800       2.65    -18.27  1.00000
  801       2.65    -18.22  1.00000
  802       2.65    -18.17  1.00000
  803       2.65    -18.12  1.00000
  804       2.65    -18.07  1.00000
  805       2.65    -18.02  1.00000
  806       2.65    -17.97  1.00000
  807       2.65    -17.92  1.00000
  808       2.65    -17.87  1.00000
  809       2.65    -17.82  1.00000
  810       2.65    -17.77  1.00000
  811       2.65    -17.72  1.00000
  812       2.65    -17.67  1.00000
  813       2.65    -17.62  1.00000
